                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.48265,                 3.0567,                0.93406,                0.00989,                      1,                  0.995,                  0.995,                0.15636,                  3.049,                0.79827,                 0.0865,                 0.0015,                 0.0015
                      1,                0.35188,                 2.1475,                0.85385,                0.01019,                      1,                  0.995,                  0.995,                0.16946,                 2.8704,                 0.7988,               0.072097,              0.0030969,              0.0030969
                      2,                0.36143,                 1.7479,                0.83419,                 0.0103,                      1,                  0.995,                0.91258,                0.29321,                   2.64,                0.82267,               0.057691,              0.0046907,              0.0046907
                      3,                0.40519,                 1.5227,                0.85166,                0.99547,                      1,                  0.995,                0.91438,                0.36751,                 2.3072,                0.85636,               0.043281,              0.0062813,              0.0062813
                      4,                0.44132,                 1.4569,                0.85685,                      1,                0.69525,                  0.995,                 0.9666,                0.28297,                 2.1193,                 0.8332,               0.028869,              0.0078687,              0.0078687
                      5,                 0.4783,                 1.3474,                0.87192,                      1,                0.99695,                  0.995,                0.92521,                0.34311,                 1.6669,                0.84617,               0.014453,               0.009453,               0.009453
                      6,                0.52592,                   1.14,                0.90901,                0.92951,                0.96667,                0.94923,                0.84224,                0.43692,                 1.4817,                0.88458,              0.0099406,              0.0099406,              0.0099406
                      7,                0.50058,                0.99327,                0.89291,                0.98194,                      1,                0.99451,                0.89543,                0.45114,                0.82868,                0.89261,              0.0099406,              0.0099406,              0.0099406
                      8,                0.55331,                0.85055,                0.91224,                0.99374,                      1,                  0.995,                0.85225,                    0.5,                 1.4406,                0.92461,              0.0099307,              0.0099307,              0.0099307
                      9,                0.53882,                0.82205,                0.91264,                0.99896,                      1,                  0.995,                0.85786,                0.53631,                 1.2851,                0.93754,              0.0099208,              0.0099208,              0.0099208
                     10,                0.52623,                0.78314,                0.89519,                0.99911,                      1,                  0.995,                0.85902,                0.56053,                0.89253,                0.95712,              0.0099109,              0.0099109,              0.0099109
                     11,                0.51758,                0.72967,                0.88564,                0.99887,                      1,                  0.995,                0.86688,                0.58362,                 1.0834,                0.93345,               0.009901,               0.009901,               0.009901
                     12,                0.50556,                0.68696,                0.87191,                0.99907,                      1,                  0.995,                0.89432,                0.48314,                0.71432,                0.90328,              0.0098911,              0.0098911,              0.0098911
                     13,                0.49847,                   0.68,                0.89071,                0.99906,                      1,                  0.995,                0.89157,                0.44726,                0.67716,                0.88951,              0.0098812,              0.0098812,              0.0098812
                     14,                0.52352,                 0.6596,                0.90449,                0.99905,                      1,                  0.995,                0.95006,                0.35327,                 0.6285,                0.84484,              0.0098713,              0.0098713,              0.0098713
                     15,                0.44475,                0.60563,                0.88403,                0.99913,                      1,                  0.995,                0.95487,                0.32907,                0.52478,                0.83751,              0.0098614,              0.0098614,              0.0098614
                     16,                0.47165,                0.57379,                0.86116,                0.99915,                      1,                  0.995,                0.92018,                0.36806,                0.52899,                0.85558,              0.0098515,              0.0098515,              0.0098515
                     17,                0.45376,                0.54836,                0.87851,                0.99912,                      1,                  0.995,                0.91958,                 0.3704,                0.51357,                 0.8547,              0.0098416,              0.0098416,              0.0098416
                     18,                0.44108,                0.53038,                0.86786,                0.99914,                      1,                  0.995,                0.94227,                0.32774,                0.43945,                0.84264,              0.0098317,              0.0098317,              0.0098317
                     19,                0.42929,                0.51097,                0.84726,                0.99906,                      1,                  0.995,                0.92708,                0.33943,                0.51243,                0.84662,              0.0098218,              0.0098218,              0.0098218
                     20,                 0.4576,                0.48722,                0.84095,                0.99911,                      1,                  0.995,                0.90269,                0.40566,                0.44984,                0.87883,              0.0098119,              0.0098119,              0.0098119
                     21,                0.43931,                0.47976,                0.84318,                0.99912,                      1,                  0.995,                0.93189,                0.35231,                0.43815,                0.84321,               0.009802,               0.009802,               0.009802
                     22,                  0.433,                0.47682,                 0.8585,                0.99908,                      1,                  0.995,                0.94994,                0.35171,                0.39445,                0.85088,              0.0097921,              0.0097921,              0.0097921
                     23,                0.43285,                0.45935,                0.86646,                0.99911,                      1,                  0.995,                0.91804,                0.39059,                0.42558,                0.86244,              0.0097822,              0.0097822,              0.0097822
                     24,                0.43288,                0.45443,                0.85096,                0.99911,                      1,                  0.995,                0.95074,                0.30122,                0.32705,                0.83222,              0.0097723,              0.0097723,              0.0097723
                     25,                0.41148,                0.44514,                0.84593,                0.99909,                      1,                  0.995,                0.97296,                0.24563,                0.31147,                0.81428,              0.0097624,              0.0097624,              0.0097624
                     26,                0.40721,                0.44406,                 0.8585,                0.99913,                      1,                  0.995,                0.97476,                0.25837,                0.30643,                0.82499,              0.0097525,              0.0097525,              0.0097525
                     27,                0.38873,                0.41656,                 0.8644,                0.99913,                      1,                  0.995,                0.97071,                0.26251,                0.31651,                 0.8293,              0.0097426,              0.0097426,              0.0097426
                     28,                0.40067,                0.39446,                0.85328,                0.99912,                      1,                  0.995,                0.95522,                0.29449,                0.32294,                 0.8407,              0.0097327,              0.0097327,              0.0097327
                     29,                0.37756,                 0.3891,                0.84512,                0.99912,                      1,                  0.995,                0.97872,                 0.2729,                0.36018,                0.83079,              0.0097228,              0.0097228,              0.0097228
