epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,73.7316,0.16318,0.56477,0.79373,0.99984,1,0.995,0.89375,0.40601,0.31669,1.23021,0.00199336,0.00199336,0.00199336
2,145.672,0.23351,0.23464,0.80786,0.99985,1,0.995,0.97079,0.25935,0.25294,0.82989,0.00399325,0.00399325,0.00399325
3,216.838,0.28208,0.2489,0.82103,0.99943,1,0.995,0.95692,0.30862,0.2988,0.85008,0.0059927,0.0059927,0.0059927
4,287.484,0.32728,0.2911,0.85057,0.99966,1,0.995,0.95932,0.31349,0.46884,0.85841,0.0079914,0.0079914,0.0079914
5,357.842,0.3302,0.33045,0.85471,0.99963,1,0.995,0.96123,0.27449,0.25819,0.82117,0.00998902,0.00998902,0.00998902
6,428.608,0.29604,0.22626,0.82507,0.97202,0.97304,0.98942,0.95521,0.31796,0.31791,0.85591,0.00999322,0.00999322,0.00999322
7,499.259,0.25529,0.2027,0.80938,0.94367,1,0.99489,0.98787,0.22495,0.34177,0.80187,0.00999023,0.00999023,0.00999023
8,569.207,0.24065,0.20358,0.80743,0.99962,1,0.995,0.99362,0.215,0.20993,0.80752,0.00998671,0.00998671,0.00998671
9,639.82,0.21832,0.17714,0.79812,0.9999,1,0.995,0.99162,0.20614,0.16154,0.79356,0.00998264,0.00998264,0.00998264
10,709.749,0.20459,0.18811,0.7898,0.99733,0.99355,0.99494,0.99396,0.1868,0.21098,0.79276,0.00997803,0.00997803,0.00997803
11,779.511,0.19402,0.1911,0.78916,0.66522,0.79417,0.73282,0.7119,0.41718,1.85526,0.99044,0.00997288,0.00997288,0.00997288
12,849.987,0.19078,0.22189,0.79163,0.99964,1,0.995,0.99271,0.20099,0.15689,0.78705,0.0099672,0.0099672,0.0099672
13,919.883,0.18841,0.17609,0.79063,0.99981,1,0.995,0.99458,0.18253,0.15886,0.78945,0.00996097,0.00996097,0.00996097
14,989.854,0.16946,0.14862,0.77998,0.99977,1,0.995,0.995,0.14844,0.12685,0.7784,0.0099542,0.0099542,0.0099542
15,1060.3,0.15302,0.12711,0.77398,0.9999,1,0.995,0.99476,0.157,0.13272,0.77697,0.0099469,0.0099469,0.0099469
16,1129.88,0.15532,0.13085,0.77374,0.99988,1,0.995,0.99482,0.14167,0.12255,0.77303,0.00993906,0.00993906,0.00993906
17,1199.75,0.15452,0.13743,0.78282,0.99982,1,0.995,0.99496,0.13415,0.12286,0.77234,0.00993068,0.00993068,0.00993068
18,1270.27,0.14871,0.12889,0.7774,0.99985,1,0.995,0.995,0.11714,0.10747,0.76699,0.00992177,0.00992177,0.00992177
19,1340.3,0.13525,0.11735,0.7716,0.99991,1,0.995,0.995,0.09776,0.09477,0.76311,0.00991232,0.00991232,0.00991232
20,1410.64,0.13539,0.11901,0.7703,0.99991,1,0.995,0.995,0.10862,0.10506,0.76688,0.00990234,0.00990234,0.00990234
21,1480.77,0.13456,0.12405,0.77565,0.9999,1,0.995,0.995,0.10787,0.09893,0.76536,0.00989183,0.00989183,0.00989183
22,1550.6,0.13529,0.12121,0.77601,0.99986,1,0.995,0.995,0.09192,0.09852,0.76199,0.00988079,0.00988079,0.00988079
23,1621.1,0.12395,0.14213,0.768,0.99543,0.99664,0.99499,0.99499,0.12502,0.10933,0.77026,0.00986922,0.00986922,0.00986922
24,1690.72,0.12534,0.11078,0.76814,0.99988,1,0.995,0.995,0.1006,0.1015,0.76263,0.00985711,0.00985711,0.00985711
25,1760.36,0.12677,0.11418,0.7667,0.99995,1,0.995,0.995,0.11832,0.1048,0.76871,0.00984449,0.00984449,0.00984449
26,1830.8,0.11879,0.10623,0.76981,0.99993,1,0.995,0.99339,0.13215,0.13913,0.78209,0.00983133,0.00983133,0.00983133
27,1901.21,0.11325,0.10769,0.76881,0.99982,1,0.995,0.995,0.08739,0.08649,0.7644,0.00981765,0.00981765,0.00981765
28,1970.99,0.12157,0.11093,0.76928,0.99983,1,0.995,0.995,0.09654,0.09824,0.76431,0.00980345,0.00980345,0.00980345
29,2041.14,0.12127,0.11273,0.77098,0.99945,0.99797,0.995,0.995,0.09877,0.0988,0.76557,0.00978873,0.00978873,0.00978873
30,2110.95,0.1166,0.10683,0.7667,0.9999,1,0.995,0.995,0.07679,0.07899,0.75943,0.00977349,0.00977349,0.00977349
31,2181.18,0.10723,0.09822,0.76546,0.99989,1,0.995,0.995,0.07487,0.0754,0.75957,0.00975773,0.00975773,0.00975773
32,2251.38,0.11019,0.10101,0.76216,0.99989,1,0.995,0.995,0.08501,0.08027,0.76172,0.00974145,0.00974145,0.00974145
33,2321.38,0.10879,0.1009,0.76751,0.99989,1,0.995,0.995,0.0761,0.07496,0.75805,0.00972466,0.00972466,0.00972466
34,2391.74,0.10305,0.09694,0.76418,0.99991,1,0.995,0.995,0.0796,0.07698,0.75969,0.00970736,0.00970736,0.00970736
35,2462.19,0.10242,0.09328,0.76163,0.9999,1,0.995,0.995,0.07456,0.07809,0.75877,0.00968955,0.00968955,0.00968955
36,2532.16,0.10641,0.09898,0.76491,0.9999,1,0.995,0.995,0.08422,0.0878,0.75981,0.00967122,0.00967122,0.00967122
37,2602.85,0.10787,0.10251,0.766,0.99972,1,0.995,0.995,0.07993,0.08318,0.75971,0.00965239,0.00965239,0.00965239
38,2672.85,0.1004,0.09606,0.76731,0.99989,1,0.995,0.995,0.07053,0.07138,0.75761,0.00963306,0.00963306,0.00963306
39,2742.91,0.09676,0.09061,0.76206,0.99995,1,0.995,0.995,0.07067,0.07119,0.75786,0.00961322,0.00961322,0.00961322
40,2813.19,0.10053,0.09384,0.76436,0.9999,1,0.995,0.995,0.07158,0.07236,0.75866,0.00959289,0.00959289,0.00959289
41,2882.77,0.10048,0.09364,0.76299,0.99991,1,0.995,0.995,0.07062,0.07142,0.75809,0.00957205,0.00957205,0.00957205
42,2952.62,0.10155,0.09445,0.76206,0.9999,1,0.995,0.995,0.06042,0.06226,0.75699,0.00955072,0.00955072,0.00955072
43,3023.39,0.09796,0.09427,0.76304,0.9999,1,0.995,0.995,0.06398,0.06931,0.7564,0.00952889,0.00952889,0.00952889
44,3093.34,0.0977,0.09271,0.76257,0.99989,1,0.995,0.995,0.06185,0.06603,0.75727,0.00950658,0.00950658,0.00950658
