epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.326,0.78285,1.08467,1.03609,0.99001,0.99667,0.99473,0.82049,0.67249,0.36513,0.89989,0.00198667,0.00198667,0.00198667
2,51.9867,0.65656,0.39273,0.89163,0.99666,0.99523,0.99497,0.79527,0.76887,0.48819,0.94214,0.00398666,0.00398666,0.00398666
3,77.7263,0.68829,0.42113,0.9116,0.95598,0.98,0.98351,0.78335,0.77847,0.71227,0.95046,0.00598661,0.00598661,0.00598661
4,103.108,0.72239,0.45033,0.92423,0.96703,0.97667,0.99264,0.77521,0.79894,0.65046,0.9794,0.00798649,0.00798649,0.00798649
5,128.312,0.7494,0.46668,0.9322,0.98658,0.98045,0.99444,0.77555,0.79997,0.50513,0.96433,0.00998628,0.00998628,0.00998628
6,153.481,0.76245,0.45761,0.93761,0.97057,0.98947,0.99224,0.79069,0.78087,0.4679,0.94783,0.00999939,0.00999939,0.00999939
7,178.817,0.70392,0.42016,0.9111,0.98105,0.99667,0.99408,0.81339,0.73432,0.45697,0.92973,0.00999912,0.00999912,0.00999912
8,204.46,0.67268,0.40018,0.89101,0.96478,0.98,0.99303,0.83606,0.67139,0.47373,0.90216,0.0099988,0.0099988,0.0099988
9,230.137,0.63442,0.37714,0.88207,0.99668,0.99922,0.99493,0.83443,0.6741,0.37007,0.90021,0.00999844,0.00999844,0.00999844
10,255.607,0.61989,0.36583,0.8746,0.98878,0.99667,0.99487,0.84508,0.66557,0.35966,0.89534,0.00999802,0.00999802,0.00999802
11,280.893,0.60919,0.36077,0.87192,0.98349,0.99303,0.9927,0.8285,0.71593,0.3825,0.90922,0.00999756,0.00999756,0.00999756
12,306.135,0.59413,0.34249,0.86179,0.99337,0.99945,0.99473,0.85881,0.62267,0.34094,0.88036,0.00999704,0.00999704,0.00999704
13,331.36,0.56422,0.33494,0.86017,0.99334,0.99471,0.99497,0.84578,0.64706,0.34781,0.88548,0.00999648,0.00999648,0.00999648
14,356.361,0.54852,0.32694,0.8463,0.99651,1,0.995,0.85978,0.62218,0.32944,0.88038,0.00999587,0.00999587,0.00999587
15,381.341,0.53282,0.31255,0.84376,0.99303,1,0.99335,0.87012,0.58049,0.31335,0.86516,0.00999521,0.00999521,0.00999521
16,406.423,0.52769,0.31132,0.84464,0.99897,0.99667,0.995,0.86776,0.61942,0.32505,0.87653,0.0099945,0.0099945,0.0099945
17,431.769,0.5062,0.30087,0.83801,1,0.99986,0.995,0.87723,0.57937,0.31026,0.85665,0.00999375,0.00999375,0.00999375
18,457.315,0.50629,0.30119,0.83996,0.99953,0.99667,0.995,0.86926,0.59465,0.32369,0.86862,0.00999294,0.00999294,0.00999294
19,482.746,0.49006,0.29228,0.83235,0.99937,0.99667,0.995,0.87715,0.60246,0.30273,0.86887,0.00999209,0.00999209,0.00999209
20,508.056,0.4753,0.28685,0.82836,0.99327,1,0.9947,0.87556,0.56598,0.31539,0.86637,0.00999118,0.00999118,0.00999118
21,533.159,0.46483,0.28259,0.82417,0.99649,1,0.995,0.89192,0.5603,0.28997,0.85301,0.00999023,0.00999023,0.00999023
22,558.181,0.45157,0.2761,0.82126,0.99643,1,0.9945,0.90252,0.52766,0.28637,0.84611,0.00998923,0.00998923,0.00998923
23,583.176,0.44562,0.27917,0.82184,0.99643,1,0.99473,0.89268,0.5123,0.28466,0.83826,0.00998818,0.00998818,0.00998818
24,608.121,0.4325,0.26643,0.81636,0.99853,1,0.995,0.89858,0.52327,0.28606,0.84022,0.00998708,0.00998708,0.00998708
25,633.086,0.42474,0.26184,0.80905,0.9997,1,0.995,0.89996,0.52422,0.27283,0.84336,0.00998594,0.00998594,0.00998594
26,658.112,0.41751,0.25912,0.81373,0.99325,1,0.995,0.90201,0.48714,0.27472,0.83934,0.00998474,0.00998474,0.00998474
